player_name,player_real_name,birth,country,status,team_name,earnings,role,signature_hero
[e][h] Gesture  ,Hong Jae-hee,"January 12, 1998 (1998-01-12) (age 23)",South Korea,Active,Seoul Dynasty,"$408,143",Tank,"Winston
Orisa
Reinhardt
Roadhog
Sigma"
[e][h] Glister  ,Lim Gil-seong,"January 26, 2002 (2002-01-26) (age 19)",South Korea,Active,San Francisco Shock,"$64,131",DPS,"Doomfist
McCree
Tracer
Widowmaker
Ashe"
[e][h] guxue  ,Xu Qiulin,"October 16, 2000 (2000-10-16) (age 20)",China,Active,Hangzhou Spark,"$113,152",Tank,"Winston
Reinhardt
Orisa
Wrecking Ball"
[e][h] Gwangboong  ,Kim Gwang-won,"March 1, 2003 (2003-03-01) (age 18)",South Korea,Active,New York Excelsior,"$7,211",DPS,"Widowmaker
Ashe
McCree"
[e][h] Hadi  ,Hadi Daniel Bleinagel,"October 9, 2000 (2000-10-09) (age 20)",Germany,Active,London Spitfire,"$32,144",Tank,"Winston
Reinhardt
Orisa
Wrecking Ball"
[e][h] Hanbin  ,Choi Han-been,"February 20, 2002 (2002-02-20) (age 19)",South Korea,Active,Dallas Fuel,"$181,086",Tank,"Sigma
Zarya
D.Va
Brigitte
Roadhog"
[e][h] Happy  ,Lee Jung-woo,"August 2, 1999 (1999-08-02) (age 22)",South Korea,Active,Houston Outlaws,"$27,152",DPS,"Widowmaker
McCree
Tracer
Ashe
Hanzo"
[e][h] Hawk  ,Xander Domecq,"September 16, 2001 (2001-09-16) (age 20)",United States,Active,Atlanta Reign,"$180,175",Tank,"D.Va
Zarya
Roadhog
Sigma"
[e][h] Heesu  ,Jeong Hee-su,"March 25, 2002 (2002-03-25) (age 19)",South Korea,Active,Toronto Defiant,"$107,442",DPS,"Widowmaker
Sombra
Reaper
McCree
Hanzo"
[e][h] Highbee  ,Zhang Zening,NA,China,Active,Los Angeles Valiant,"$40,416","Support
Tank","D.Va
Zarya
Sigma
Brigitte"
[e][h] HOTBA  ,Choi Hong-joon,"November 30, 1999 (1999-11-30) (age 21)",South Korea,Active,Philadelphia Fusion,"$145,608",Tank,"D.Va
Zarya
Roadhog
Tracer
Sigma"
[e][h] iDK  ,Park Ho-jin,"April 26, 1999 (1999-04-26) (age 22)",South Korea,Active,Hangzhou Spark,"$99,252",Support,"Lúcio
Mercy
Baptiste"
[e][h] im37  ,Hong Jin-ui,"November 20, 1999 (1999-11-20) (age 21)",South Korea,Active,Boston Uprising,"$13,686",DPS,"McCree
Widowmaker
Tracer
Ashe"
[e][h] Ir1s  ,Kim Seung-hyun,"September 10, 2000 (2000-09-10) (age 21)",South Korea,Active,Atlanta Reign,"$154,086",Support,"Zenyatta
Baptiste
Ana
Moira"
[e][h] IZaYaKI  ,Kim Min-chul,"February 22, 2000 (2000-02-22) (age 21)",South Korea,Active,Shanghai Dragons,"$472,807",Support,"Zenyatta
Ana
Baptiste
Moira"
[e][h] JAKE  ,Jacob Lyon,"July 28, 1996 (1996-07-28) (age 25)",United States,Active,Houston Outlaws,"$25,793","DPS
Support","Junkrat
Genji
Soldier: 76
Brigitte
Pharah"
[e][h] Jecse  ,Lee Seung-soo,"May 31, 1999 (1999-05-31) (age 22)",South Korea,Active,NA,"$158,826",Support,"Lúcio
Mercy
Brigitte"
[e][h] Jerry  ,Min Tae-hee,"July 5, 2001 (2001-07-05) (age 20)",South Korea,Active,Washington Justice,"$12,031",DPS,"McCree
Widowmaker
Reaper
Hanzo
Tracer"
[e][h] Jihun  ,Kim Ji-hun,"May 8, 2002 (2002-05-08) (age 19)",South Korea,Active,"Guangzhou Charge
UP Academy","$2,533",Tank,"Wrecking Ball
Reinhardt
Orisa"
[e][h] Jimmy  ,Lei Yujia,"May 11, 2001 (2001-05-11) (age 20)",China,Active,Chengdu Hunters,"$54,571",DPS,"Ashe
Widowmaker
McCree"
[e][h] JinMu  ,Yi Hu,"May 22, 1999 (1999-05-22) (age 22)",China,Active,Chengdu Hunters,"$63,466",DPS,"Genji
Pharah
Hanzo
Doomfist
Torbjörn"
[e][h] JJANGGU  ,Cho Myung-heum,"August 26, 2000 (2000-08-26) (age 21)",South Korea,Active,NA,"$15,521","Tank
DPS","Reinhardt
Wrecking Ball
Winston
Orisa"
[e][h] JJoNak  ,Bang Seong-hyun,"December 20, 1999 (1999-12-20) (age 21)",South Korea,Active,New York Excelsior,"$260,147",Support,"Zenyatta
Ana
Moira
Baptiste"
[e][h] Joobi  ,Enrique Triana,"April 4, 2003 (2003-04-04) (age 18)",United States,Active,NA,"$9,113",Support,"Lúcio
Mercy
Baptiste
Brigitte"
[e][h] Kaan  ,Emir Kaan Okumus,NA,Germany,Active,Paris Eternal,"$15,418",Support,"Baptiste
Ana
Zenyatta"
[e][h] Kai  ,Kai Collins,"June 17, 2000 (2000-06-17) (age 21)",United Kingdom,Active,Atlanta Reign,"$169,606",DPS,"Ashe
Widowmaker
McCree
Hanzo"
[e][h] Kalios  ,Shin Woo-yeol,"November 9, 1998 (1998-11-09) (age 22)",South Korea,Active,New York Excelsior,"$58,767",Tank,"Zarya
D.Va
Sigma"
[e][h] KariV  ,Park Young-seo,"January 8, 1998 (1998-01-08) (age 23)",South Korea,Active,Guangzhou Charge,"$86,776",Support,"Zenyatta
Ana
Moira
Widowmaker
Soldier: 76"
[e][h] Kellex  ,Kristian Keller,"February 9, 1999 (1999-02-09) (age 22)",Denmark,Active,London Spitfire,"$68,151",Support,"Lúcio
Mercy"
[e][h] kevster  ,Kevin Persson,"May 21, 2001 (2001-05-21) (age 20)",Sweden,Active,Los Angeles Gladiators,"$75,247",DPS,"Tracer
Genji
Ashe
Pharah
Widowmaker"
[e][h] Krystal  ,Cai Shilong,"August 22, 2000 (2000-08-22) (age 21)",China,Active,Los Angeles Valiant,"$102,038",DPS,"Genji
McCree
Pharah
Widowmaker
Mei"
[e][h] Lastro  ,Mun Jung-won,"April 2, 2001 (2001-04-02) (age 20)",South Korea,Active,NA,"$26,685",Support,"Zenyatta
Ana
Moira
Baptiste"
[e][h] LateYoung  ,Ma Tianbin,"July 5, 1999 (1999-07-05) (age 22)",China,Active,"Chengdu Hunters
Team Chaser","$97,459",Tank,"Zarya
D.Va"
[e][h] leave  ,Huang Xin,"October 23, 2001 (2001-10-23) (age 19)",China,Active,Chengdu Hunters,"$186,975",DPS,"Tracer
Doomfist
Ashe
Genji
Echo"
[e][h] LeeJaeGon  ,Lee Jae-gon,"August 29, 2001 (2001-08-29) (age 20)",South Korea,Active,Shanghai Dragons,"$446,130",Support,"Lúcio
Mercy
Brigitte"
[e][h] LiGe  ,Jia Chengjie,"September 6, 2001 (2001-09-06) (age 20)",China,Active,"Hangzhou Spark
Bilibili Gaming","$35,333",Tank,"Sigma
D.Va
Zarya"
[e][h] LiNkzr  ,Jiri Masalin,"April 9, 1994 (1994-04-09) (age 27)",Finland,Active,Vancouver Titans,"$43,065",DPS,"Widowmaker
Genji
McCree
Hanzo
Soldier: 76"
[e][h] LIP  ,Lee Jae-won,"November 5, 2001 (2001-11-05) (age 19)",South Korea,Active,Shanghai Dragons,"$500,249",DPS,"Sombra
McCree
Hanzo
Ashe
Tracer"
[e][h] Logix  ,Andreas Berghmans,"June 11, 1997 (1997-06-11) (age 24)",Belgium,Active,NA,"$20,555",DPS,"Tracer
Widowmaker
McCree
Ashe
Reaper"
[e][h] M1ka  ,Liu Jiming,"June 20, 2000 (2000-06-20) (age 21)",China,Active,Hangzhou Spark,"$29,290",Support,"Mercy
Brigitte
Lúcio"
[e][h] Mag  ,Kim Tae-sung,"June 12, 2002 (2002-06-12) (age 19)",South Korea,Active,Washington Justice,"$51,960",Tank,"Reinhardt
Winston
Wrecking Ball
Orisa
Roadhog"
[e][h] Mandu  ,Kim Chan-hee,"June 3, 2002 (2002-06-03) (age 19)",South Korea,Active,Guangzhou Charge,"$66,201",Support,"Lúcio
Mercy
Baptiste"
[e][h] Mano  ,Kim Dong-gyu,"April 12, 1996 (1996-04-12) (age 25)",South Korea,Inactive,NA,"$267,273",Tank,"Winston
Reinhardt
Orisa
Wrecking Ball"
[e][h] Marve1  ,Hwang Min-seo,"October 26, 2000 (2000-10-26) (age 20)",South Korea,Active,Seoul Dynasty,"$190,819",Tank,"Sigma
Reinhardt
Wrecking Ball
Winston
Orisa"
[e][h] Masaa  ,Petja Kantanen,"July 18, 1995 (1995-07-18) (age 26)",Finland,Active,Atlanta Reign,"$210,126",Support,"Lúcio
Mercy
Brigitte"
[e][h] Michelle  ,Choi Min-hyuk,"December 21, 1999 (1999-12-21) (age 21)",South Korea,Active,NA,"$209,947",Tank,"D.Va
Zarya
Roadhog
Sombra"
